공통표준단어명,공통표준단어영문약어명,공통표준단어 영문명,공통표준단어 설명,형식단어여부,공통표준도메인분류명,이음동의어 목록,금칙어 목록,제정차수,"개정구분명(폐기 또는 변경)",개정항목,개정사유
서약서,WROT,Written Oath,誓約書. 서약하는 글. 또는 그런 문서,N,,,,7차(2024-11),,,
석방,STFR,Set Free (From Custody/Captivity),釋放. 법에 의하여 구속하였던 사람을 풀어 자유롭게 하는 일,N,,,,8차(2025-11),,,
석사,MSTR,Master,碩士. 대학원의 석사 과정을 마치고 규정된 절차를 밟은 사람에게 수여하는 학위 또는 그 학위를 딴 사람,N,,,,8차(2025-11),,,
선거구,ELDST,Election District,選擧區. 의원을 선출하는 단위 구역,N,,,,8차(2025-11),,,
선고,ADJ,Adjudication,宣告. 선언하여 널리 알림,N,,,,6차(2023-11),,,
선급금,PRPAMT,Prepayments Amount,先給金. 미리 지급하여 주는 돈,Y,금액,,,7차(2024-11),,,
선납,PRPY,Prepayment,先納. 약속한 기한이 되기 전에 돈을 미리 바침,N,,,,6차(2023-11),,,
선로,RLWY,Railway,線路. 기차나 전차의 바퀴가 굴러가도록 레일을 깔아 놓은 길,N,,,,7차(2024-11),,,
선박,VSL,Vessel,船舶. 사람이나 짐 따위를 싣고 물 위로 떠다니도록 나무나 쇠 따위로 만든 물건,N,,,,6차(2023-11),,,
선수금,ADPYR,Advance Payment Received,先受金. 미리 받은 돈 또는 그 돈의 계정,Y,금액,,,6차(2023-11),,,
선수수익,UNRV,Unearned Revenue,先受收益. 수입은 이루어졌으나 수익의 귀속 시기가 다음 시기 이후인 수익,N,,,,6차(2023-11),,,
선순위,PRORD,Prior Order,先順位. 다른 것보다 앞서는 차례,N,,,,6차(2023-11),,,
선원,CREW,Crew,船員. 배의 승무원,N,,,,6차(2023-11),,,
선임,APNM,Appointment,選任. 여러 사람 가운데서 어떤 직무나 임무를 맡을 사람을 골라냄,N,,,,8차(2025-11),,,
선장,CPTN,Captain,船長. 배의 항해와 배 안의 모든 사무를 책임지고 선원들을 통솔하는 최고 책임자,N,,,,7차(2024-11),,,
선적,SHPG,Shipping,船積. 배에 짐을 실음,N,,,,6차(2023-11),,,
선적항,POL,Port Of Loading,船積港. 배에 화물을 싣는 항구,N,,,,7차(2024-11),,,
선정,SLCTN,Selection,選定. 여럿 가운데서 어떤 것을 뽑아 정함,N,,,,1차(2020-08),,,
선지급,ADPY,Advance Payment,先支給. 돈이나 물품 따위를 정하여진 몫만큼 먼저 내어 줌,N,,,,6차(2023-11),,,
선택,CHC,Choice,"選擇. 여럿 가운데서 필요한 것을 골라 뽑음. 문제를 해결하기 위한 몇 가지 수단을 의식하고, 그 가운데서 어느 것을 골라내는 작용",N,,,,1차(2020-08),,,
선하증권,BL,Bill of Lading,"船荷證券. 해상 운송에서, 화물의 인도 청구권을 표시한 유가 증권. 해상 운송인이 운송물을 수령 또는 선적하였음을 인증하고, 이를 운송하여 양륙항(揚陸港)에서 증권의 소지자에게 그 운송물을 인도할 것을 약속하는 증표이다",N,,선화증권,,6차(2023-11),,,
설계,DESIGN,Design,"設計. 건축ㆍ토목ㆍ기계 제작 등에서, 그 목적에 따라 실제적인 계획을 세워 도면 등으로 드러내 보이는 일",N,,,,3차(2021-10),,,
설계자,DSGNR,Designer,設計者. 계획을 세운 사람. 또는 계획을 세워 만든 사람,N,,,,4차(2021-12),,,
설립,FNDN,Foundation,設立. 기관이나 조직체 따위를 만들어 일으킴,N,,,,1차(2020-08),,,
설명,EXPLN,Explanation,說明. 어떤 일이나 대상의 내용을 상대편이 잘 알 수 있도록 밝혀 말함. 또는 그런 말,Y,내용,,,5차(2022-07),,,
설문,SRVY,Survey,設問. 조사를 하거나 통계 자료 등을 얻기 위하여 어떤 주제에 대하여 문제를 내어 물음. 또는 그 문제,N,,,,3차(2021-10),,,
설비,EQPM,Equipment,設備. 필요한 것을 베풀어서 갖춤 또는 그런 시설,N,,,,8차(2025-11),,,
설정,STNG,Setting,設定. 새로 만들어 정해 둠 또는 제한 물권을 새로이 발생시키는 행위,N,,,,1차(2020-08),변경,공통표준단어 설명,유관 단어와의 통일성 및 적합성을 고려하여 설명 수정
설치,INSTL,Installation,設置. 어떤 일을 하는 데 필요한 기관이나 설비 따위를 베풀어 둠,N,,,,1차(2020-08),,,
성공,SCS,Success,成功. 목적하는 바를 이룸,N,,,,1차(2020-08),,,
성과,OTCM,Outcome,成果. 이루어 낸 결실,N,,,,7차(2024-11),,,
성과보수,INCNPY,Incentive Pay,成果報酬. 일의 업적에 따라 추가로 지급하는 보수,N,,,,8차(2025-11),,,
성과지표,PI,Performance Indicator,成果指標. 조직이나 공정 또는 시스템의 성과를 반영하여 품질 목표를 계량적으로 평가하는 데 활용하는 척도,N,,,,6차(2023-11),,,
성명,FLNM,Full Name,姓名. 성과 이름을 아울러 이르는 말,Y,명,,,2차(2020-12),,,
성별,GNDR,Gender,性別. 남녀나 암수의 구별,N,,,,6차(2023-11),,,
성분,IGRD,Ingredient,成分. 유기적인 통일체를 이루고 있는 것의 한 부분,N,,,,6차(2023-11),,,
성수기,PKSN,Peak Season,盛需期. 상품이나 서비스의 수요가 많은 시기,N,,,,7차(2024-11),,,
성인,ADLT,Adult,成人. 자라서 어른이 된 사람,N,,,,8차(2025-11),,,
성적,SCRE,Score,"成績. 하여 온 일의 결과로 얻은 실적 또는 학생들이 배운 지식, 기능, 태도 따위를 평가한 결과",N,,,,8차(2025-11),,,
성적서,SCRPT,Score Report,成績書. 하여 온 일의 결과로 얻은 실적을 분석한 보고서,N,,,,7차(2024-11),,,
세금,TX,Tax,稅金. 국가 또는 지방 공공 단체가 필요한 경비로 사용하기 위하여 국민이나 주민으로부터 강제로 거두어들이는 금전,N,,,,6차(2023-11),,,
세금계산서,TXIV,Tax Invoice,稅金計算書. 사업자가 물건을 사고팔 때 부가 가치세법에 따라 발행하는 영수증,N,,,,6차(2023-11),,,
세대,HH,Households,世帶. 현실적으로 주거 및 생계를 같이하는 사람의 집단,N,,,,2차(2020-12),,,
세대원,FMBR,Family Members,世帶員. 한 세대를 구성하고 있는 식구,N,,,,6차(2023-11),,,
세대주,HSHLDR,Householder,世帶主. 한 가구를 이끄는 주가 되는 사람,N,,,,5차(2022-07),,,
세로,VRTC,Vertical,세로. 위에서 아래로 나 있는 방향 또는 그 길이,N,,,,6차(2023-11),,,
세목,TXITM,Tax Item,稅目. 국민이 나라에 내는 조세의 종류별 명목,N,,,,4차(2021-12),,,
세무,TXBIZ,Taxation Business,稅務. 세금을 매기고 거두어들이는 일에 관한 사무,N,,,,6차(2023-11),,,
세무서,TXOFC,Tax Office,稅務署. 국세청 산하에서 내국세에 관한 사무를 맡아보는 지방 세무 행정 관청,N,,,,6차(2023-11),,,
세분류,DCLSF,Detailed Classification,細分類. 이미 분류된 사물을 다시 한번 여러 갈래로 자세히 나누거나 가름. 또는 그런 것,N,,,,5차(2022-07),,,
세션,SSN,Session,Session. 컴퓨터 네트워크에서 연결을 설립・유지・종료시키는 동안 발생하는 모든 활동,N,,,,8차(2025-11),,,
세션유지,SSPRS,Session Persistence,Session 維持. 웹 및 네트워크 환경에서 사용자의 연결 상태를 지속적으로 관리하는 기술적 개념,N,,,,8차(2025-11),,,
세수입,TXRVN,Tax Revenue,稅收入. 국민에게서 조세(租稅)를 징수하여 얻는 정부의 수입,N,,,,6차(2023-11),,,
세액,TXAMT,Tax Amount,稅額. 조세의 액수,Y,금액,,,6차(2023-11),,,
세율,TXRT,Tax Rate,稅率. 과세 표준에 의하여 세금을 계산하여 매기는 법정률,Y,율,,,8차(2025-11),,,
세입,ANRVN,Annual Revenue,歲入. 한 회계 연도에 있어서의 정부 또는 지방 자치 단체의 모든 수입,N,,,,7차(2024-11),,,
세입관,RVNATC,Revenue Article,"歲入款. 예산이나 결산에서 세입을 구분하는, 세입 장 하위의 분류 체계",N,,,,8차(2025-11),,,
세입목,RVNITM,Revenue Item,"歲入目. 예산이나 결산에서 세입을 구분하는, 세입 항 하위의 분류 체계",N,,,,8차(2025-11),,,
세입장,RVNCHP,Revenue Chapter,歲入章. 예산이나 결산에서 세입을 구분하는 가장 상위의 분류 체계,N,,,,8차(2025-11),,,
세입항,RVNSCT,Revenue Section,"歲入項. 예산이나 결산에서 세입을 구분하는, 세입 관 하위의 분류 체계",N,,,,8차(2025-11),,,
세출,ANEXP,Annual Expenditure,歲出. 국가나 지방 자치 단체의 한 회계 연도에 있어서의 모든 지출,N,,,,8차(2025-11),,,
센터,CNTR,Center,Center. 업무 따위를 이르는 말 뒤에 쓰여 그 일을 담당하는 곳을 나타내는 말,N,,,,5차(2022-07),,,
소개,INTRO,Introduction,"紹介. 잘 알려지지 아니하였거나, 모르는 사실이나 내용을 잘 알도록 하여 주는 설명",N,,,,8차(2025-11),,,
소견,OPIN,Opinion,所見. 어떤 일이나 사물을 살펴보고 가지게 되는 생각이나 의견,N,,,,8차(2025-11),,,
소계,STOT,Subtotal,小計. 전체가 아닌 어느 한 부분만을 셈한 합계,N,,,,6차(2023-11),,,
소관,JRSD,Jurisdiction,所管. 맡아 관리하는 바 또는 그 범위,N,,,,6차(2023-11),,,
소권역,SSIRB,Small Sphere of Influence in a River Basin,小圈域. 개별 하천의 오염에 영향을 미칠 수 있는 상류 집수구역을 기준으로 환경자료의 수집 및 수질관리 측면을 고려하여 리・동 등 행정구역의 경계에 따라 구분한 수계 영향권,N,,,,7차(2024-11),,,
소급,RTRCT,Retroactivity,遡及. 과거에까지 거슬러 올라가서 미치게 함,N,,,,7차(2024-11),,,
소독,DSNF,Disinfection,消毒. 병의 감염이나 전염을 예방하기 위하여 병원균을 죽이는 일,N,,,,8차(2025-11),,,
소득,EARN,Earnings,所得. 일한 결과로 얻은 정신적/물질적 이익,N,,,,5차(2022-07),,,
소득공제,ICMDCT,Income Deduction,所得控除. 과세의 대상이 되는 소득액을 결정하기 위하여 총소득액에서 법으로 정하여진 금액을 빼내는 일,N,,,,6차(2023-11),,,
소득률,INCMRT,Income Rate,所得率. 생산 요소 따위의 모든 비용을 빼고 순수하게 소득이 되는 부가 가치가 총매출액에서 차지하는 비율,Y,율,,,8차(2025-11),,,
소득세,INCTX,Income Tax,所得稅. 개인이 한 해 동안 벌어들인 돈에 대하여 액수별 기준에 따라 매기는 세금,Y,금액,,,4차(2021-12),,,
소득세율,ICTXRT,Income Tax Rate,所得稅率. 개인이 한 해 동안 벌어들인 돈에 대하여 액수별 기준에 따라 매기는 세금의 비율,Y,율,,,6차(2023-11),,,
소득월액,MINAMT,Monthly Income Amount,"所得月額. 사업소득, 이자·배당소득, 기타소득, 연금소득 등 직장에서 받는 월급 외의 소득",Y,금액,,,7차(2024-11),,,
소득자,INERN,Income Earner,所得者. 육체적인 일이나 정신적인 일을 하여 소득을 얻는 사람,N,,,,7차(2024-11),,,
소멸,EXTSH,Extinguishment,消滅. 사라져 없어짐,N,,,,4차(2021-12),,,
소멸시효,ETPRSC,Extinctive Prescription,消滅時效. 권리자가 자신의 권리를 행사할 수 있음에도 불구하고 일정 기간 동안 권리를 행사하지 아니하는 경우에 그 권리를 소멸하는 제도,N,,,,6차(2023-11),,,
소명,VNDC,Vindicate,疏明. 까닭이나 이유를 밝혀 설명함,N,,,,6차(2023-11),,,
소모품,CSGD,Consumable Goods,消耗品. 쓰는 대로 닳거나 줄어들어 없어지거나 못 쓰게 되는 물품,N,,,,6차(2023-11),,,
소방서,FRSTN,Fire Station,消防署. 소방에 관한 업무를 맡아보는 일선 소방 기관,N,,,,6차(2023-11),,,
소분류,SCLSF,Small-Scale Classification,小分類. 작게 나누어 가름,N,,,,5차(2022-07),,,
소비량,CNSQTY,Consumption Quantity,消費量. 소비하는 분량,Y,수,,,8차(2025-11),,,
소비율,CNSRT,Consumption Rate,"消費率. 일정 기간 동안 자원, 물자, 상품, 에너지 등 소비된 양이 전체 대비 어느 정도인지를 나타내는 비율",Y,율,,,8차(2025-11),,,
소비자,CNSMR,Consumer,消費者. 재화를 소비하는 사람,N,,,,6차(2023-11),,,
소상공인,SBO,Small Business Owner,"小商工人. 상시 근로자 수가 5인 이하인 사업자로 제조업, 광업, 건설업, 운수업의 경우에는 10인 이하를 이름",N,,,,6차(2023-11),,,
소속,OGDP,Organization/Department,所屬. 일정한 단체나 기관에 딸림. 또는 그 딸린 곳,N,,,,2차(2020-12),,,
소송,LWS,Lawsuit,訴訟. 재판에 의하여 원고와 피고 사이의 권리나 의무 따위의 법률관계를 확정하여 줄 것을 법원에 요구함 또는 그런 절차,N,,,,6차(2023-11),,,
소송물,MTLW,Matter Of A Lawsuit,訴訟物. 민사 소송에서 심판의 대상이 되는 구체적 사항,N,,,,8차(2025-11),,,
소수점,DCPT,Decimal Point,小數點. 소수의 부분과 정수의 부분을 구획하기 위하여 소수 부분과 정수 부분 사이에 찍는 부호,N,,,,6차(2023-11),,,
소스,SOUR,Source,Source. 정보 따위의 출처. 또는 정보를 제공하는 사람이나 자료,N,,,,8차(2025-11),,,
소식지,NWSL,Newsletter,消息紙. 어떤 단체의 새로운 소식을 알리는 유인물,N,,,,8차(2025-11),,,
소요,REQ,Required,所要. 필요로 하거나 요구되는 바,N,,,,2차(2020-12),,,
소유,PSN,Possession,所有. 가지고 있음. 또는 그 물건,N,,,,5차(2022-07),,,
소유권,OWNSHP,Ownership,所有權. 물건을 전면적ㆍ일반적으로 지배하는 권리,N,,,,3차(2021-10),,,
소유권이전,OWNTRS,Ownership Transfer,所有權移轉. 물건을 전면적ㆍ일반적으로 지배하는 권리를 남에게 넘겨주거나 또는 넘겨받음,N,,,,7차(2024-11),,,
소유자,OWNR,Owner,所有者. 어떤 것을 자기의 것으로 가지고 있는 자. 소유권을 가진 자,N,,"소유주, 소유인",오너,2차(2020-12),,,
소인,PSTMRK,Postmark,"消印. 도장 찍음, 특히 우편에서 접수·발송 증명 목적의 날인",N,,,,8차(2025-11),,,
소장품,CLCN,Collection,所藏品. 자기의 것으로 지니어 간직하고 있는 물품,N,,,,7차(2024-11),,,
소재지,LCTN,Location,所在地. 주요 건물이나 기관 등이 자리 잡고 있는 곳,N,,소재,,3차(2021-10),,,
소정,PRSCR,Prescribed,所定. 정해진 바,N,,,,8차(2025-11),,,
소제기,FLGLW,Filing A Lawsuit,訴提起. 원고가 법원에 대하여 특정한 소송물의 정당성 여부를 심판하여 권리 보호를 허락하여 달라고 요구하는 신청,N,,,,7차(2024-11),,,
소제목,SBHD,Subheading,小題目. 큰제목 아래 붙여진 작은 제목,Y,명,,,8차(2025-11),,,
소집,CNVC,Convocation,召集. 단체나 조직체의 구성원을 불러서 모음,N,,,,6차(2023-11),,,
소프트웨어,SW,Software,Software. 컴퓨터 프로그램 및 그와 관련된 문서들을 통틀어 이르는 말,N,,,,6차(2023-11),,,
소화기,FREX,Fire Extinguisher,消火器. 불을 끄는 기구,N,,,,8차(2025-11),,,
속도,SPD,Speed,速度. 물체가 나아가거나 일이 진행되는 빠르기,Y,수,,,7차(2024-11),,,
속성,ATRB,Attribute,屬性. 사물의 특징이나 성질,N,,,,6차(2023-11),,,
손상,DMGE,Damage,損傷. 물체가 깨지거나 상함,N,,,,8차(2025-11),,,
손실,LOSS,Loss,損失. 잃어버리거나 축나서 손해를 봄 또는 그 손해,N,,,,6차(2023-11),,,
손익,PFLS,Profit and Loss,損益. 손해와 이익을 아울러 이르는 말,Y,금액,,,6차(2023-11),,,
손해,HRM,Harm,損害. 물질적으로나 정신적으로 밑짐,N,,,,6차(2023-11),,,
송금,RMT,Remittance,送金. 돈을 부쳐 보냄 또는 그 돈,N,,,,6차(2023-11),,,
송달,TMTL,Transmittal,"送達. 편지, 서류, 물품 따위를 보내어 줌",N,,,,6차(2023-11),,,
송달지,DLPL,Delivery Place,"送達地. 소송과 관련된 서류를 받을 사람의 주소, 거소, 영업소, 사무소 등의 장소",N,,,,7차(2024-11),,,
송수신,TRRC,Transmit And Receive,送受信. 송신과 수신을 아울러 이르는 말,N,,,,6차(2023-11),,,
송장,INVC,Invoice,送狀. 보내는 짐의 내용을 적은 문서,N,,,,8차(2025-11),,,
송치,TRNSR,Transference,"送致. 수사 기관에서 검찰청으로, 또는 한 검찰청에서 다른 검찰청으로 피의자와 서류를 넘겨 보내는 일",N,,,,7차(2024-11),,,
송화자,SNDER,Sender,送話者. 전화 따위로 말을 보내는 사람,N,,,,8차(2025-11),,,
수,CNT,Count,數. 셀 수 있는 사물을 세어서 나타낸 값,Y,수,,,2차(2020-12),,,
수강,ATNLC,Attendance Lecture,受講. 강의나 강습을 받음,N,,,,7차(2024-11),,,
수강료,TTCHG,Tuition Charge,受講料. 강의나 강습을 받기 위해 내는 돈,Y,요금,,,8차(2025-11),,,
수거,CLT,Collect,收去. 거두어 감,N,,,,6차(2023-11),,,
수검자,EXAMNE,Examinee,受檢者. 검사나 검열 따위를 받는 사람,N,,,,7차(2024-11),,,
수계,WTSYS,Water System,水系. 하천과 그 유역 전체를 대표하는 본류(주 하천)의 이름을 기준으로 구분한 집수역 단위,N,,,,8차(2025-11),,,
수관,ASCTL,Assumption Of Control,受管. 어떤 업무의 관할을 옮겨 받음,N,,,,6차(2023-11),,,
수관폭,CRDM,Crown Diameter,樹冠幅. 수목의 녹엽 부분을 수평면에 수직으로 투영한 최대 지름,Y,수,,,8차(2025-11),,,
수권자,ATHPR,Authorized Person,"授權者. 일정한 자격, 권한, 권리 따위를 특정인에게 부여한 사람",N,,,,8차(2025-11),,,
수급자,RECPNT,Recipient,"受給者. 급여, 연금, 배급 따위를 받은 사람",N,,,,7차(2024-11),,,
수기,HWRT,Handwriting,手記. 글이나 글씨를 자기 손으로 직접 씀,N,,,,6차(2023-11),,,
수납,RCVMT,Receiving Money (or Thing),收納. 돈이나 물품을 받아들임,N,,,,1차(2020-08),,,
수납자,RCPN,Recipient,收納者. 돈이나 물품을 받아들이는 사람,N,,수납인,,2차(2020-12),,,
수단,MNS,Means,手段. 어떤 목적을 이루기 위한 방법. 또는 그 도구,N,,,,7차(2024-11),,,
수당,ALW,Allowance,手當. 정해진 봉급 이외에 따로 주는 보수,Y,금액,,,7차(2024-11),,,
수도광열비,WLHEXP,"	Water, Light And Heat Expenses","水道光熱費. 판매와 관리 부문에서 사용된 수도료, 전기료, 가스비, 연료비 따위를 이르는 말",Y,비용,,,8차(2025-11),,,
수도권,CPAR,Capital Area,首都圈. 수도를 중심으로 이루어진 대도시권,N,,,,8차(2025-11),,,
수락,ACPT,Acceptance,受諾. 요구를 받아들임,N,,,,7차(2024-11),,,
수량,QTY,Quantity,數量. 수효와 분량을 아울러 이르는 말,Y,수,,,6차(2023-11),,,
수렴,CNVG,Convergence,收斂. 의견이나 사상 따위가 여럿으로 나뉘어 있는 것을 하나로 모아 정리함,N,,,,8차(2025-11),,,
수령,RCV,Receive,受領. 돈이나 물품을 받아들임,N,,,,6차(2023-11),,,
수령자,RCPNT,Recipient,受領者. 돈이나 물품을 받아들이는 사람,N,,,,6차(2023-11),,,
수령지,RCPL,Receipt Place,受領地. 돈이나 물품 따위를 받을 장소나 받은 장소,N,,,,6차(2023-11),,,
수료,FNSH,Finish,修了. 일정한 학과를 다 배워 끝냄,N,,,,1차(2020-08),,,
수료자,CMPLTR,Completer,修了者. 일정한 학과를 다 배워 마친 사람,N,,,,8차(2025-11),,,
수료증,DPLM,Diploma,修了證. 일정한 학과를 다 배워 마쳤음을 증명하는 증서,N,,수료장,,6차(2023-11),,,
수리,RPR,Repair,修理. 고장 나거나 허름한 데를 손보아 고침,N,,,,3차(2021-10),,,
수립,FNDG,Founding,"樹立. 국가나 정부, 제도, 계획 따위를 이룩하여 세움",N,,,,6차(2023-11),,,
수목원,ARBRT,Arboretum,樹木園. 관찰이나 연구의 목적으로 여러 가지 나무를 수집하여 재배하는 시설,N,,,,6차(2023-11),,,
수분,MST,Moisture,水分. 축축한 물의 기운,N,,,,8차(2025-11),,,
수사,INVSTG,Investigation,搜査. 범죄의 혐의 유무를 명백히 하여 공소의 제기와 유지 여부를 결정하기 위하여서 범인을 발견·확보하고 증거를 수집·보전하는 수사 기관의 활동,N,,,,8차(2025-11),,,
수상,WNAWD,Winning Award,受賞. 상을 받음,N,,,,6차(2023-11),,,
수선,MNDG,Mending,修繕. 낡거나 헌 물건을 고침,N,,,,6차(2023-11),,,
수소이온,HION,Hydrogen Ion,水素Ion. 수소 원자가 전자 한 개를 잃은 일가(一價)의 양이온,N,,,,7차(2024-11),,,
수송,TRNSP,Transport,"輸送. 사람이나 물건을 기차나 자동차, 배, 항공기 따위에 실어 다른 곳으로 옮김",N,,,,8차(2025-11),,,
수수료,FEE,Fee,手數料. 어떤 일을 맡아 처리해 준 데 대한 대가로서 주는 요금,Y,요금,,,2차(2020-12),,,
수수료율,CMRT,Commission Rate,手數料率. 어떤 일을 맡아 처리해 준 데 대한 대가로서 주는 요금를 매기는데 적용하는 비율,Y,율,,,6차(2023-11),,,
수술,SRGR,Surgery,"手術. 피부나 점막, 기타의 조직을 의료 기계를 사용하여 자르거나 째거나 꿰매거나 하는 일",N,,,,7차(2024-11),,,
수습,PRBT,Probation,修習. 학업이나 실무 따위를 배워 익힘. 또는 그런 일,N,,,,7차(2024-11),,,
수신,RCPTN,Reception,受信. 우편이나 전보 따위의 통신을 받음,N,,,받는,1차(2020-08),,,
수신자,RCVR,Receiver,受信者. 우편이나 전보 따위의 통신이나 유선 또는 무선 통신에서 신호를 받는 사람,N,,수신인,,2차(2020-12),,,
수신처,RCOFC,Receiving Office,受信處. 우편이나 전보 따위의 통신을 받는 장소,N,,,,6차(2023-11),,,
수심,WTDPT,Water Depth,"水深. 강이나 바다, 호수 따위의 물의 깊이",Y,수,,,8차(2025-11),,,
수압,WTPRS,Water Pressure,水壓. 물의 압력,Y,수,,,8차(2025-11),,,
수업,LSN,Lesson,授業. 교사가 학생에게 지식이나 기능을 가르쳐 줌. 또는 그런 일,N,,,,8차(2025-11),,,
수업료,TTFE,Tuition Fee,授業料. 수업의 대가로 학생이 내는 돈,Y,금액,,,7차(2024-11),,,
수여,CNFR,Conferment,"授與. 증서, 상장, 훈장 따위를 줌",N,,,,7차(2024-11),,,
수요,DMD,Demand,需要. 어떤 재화나 용역을 일정한 가격으로 사려고 하는 욕구,N,,,,6차(2023-11),,,
수요량,DMDQTY,Demand Quantity,需要量. 수요의 크기를 나타내는 양,Y,수,,,8차(2025-11),,,
수요일,WED,Wednesday,水曜日. 월요일을 기준으로 한 주의 셋째 날,N,,,,7차(2024-11),,,
수요처,DMNPL,Demand Place,"需要處. 재화나 용역 등 어떤 물건이나 서비스를 필요로 하거나 요구하는 장소 또는 기관, 단체",N,,,,8차(2025-11),,,
수용,ACTC,Acceptance,受容. 어떠한 것을 받아들임,N,,,,6차(2023-11),,,
수위,WTLV,Water Level,"水位. 강, 바다, 호수, 저수지 따위의 물의 높이",Y,수,,,8차(2025-11),,,
수은,MRCR,Mercury,水銀. 상온에서 유일하게 액체 상태로 있는 은백색의 금속 원소,N,,,,8차(2025-11),,,
수의계약,PVCT,Private Contract,隨意契約. 경쟁이나 입찰에 의하지 않고 상대편을 임의로 선택하여 체결하는 계약,N,,,,6차(2023-11),,,
수익,RVN,Revenue,收益. 이익을 거두어들임 또는 그 이익,Y,금액,,,8차(2025-11),,,
수익률,ERNRT,Earnings Rate,"收益率. 자본에 대한 수익의 비율. 일정한 단위의 자본으로 어느 정도의 이익을 얻을 수 있는가를 나타내는 것으로, 기업의 수익성을 나타낸다",Y,율,,,6차(2023-11),,,
수익자,BNFR,Benefiter,受益者. 이익을 얻는 사람,N,,,,6차(2023-11),,,
수임,ACAP,Acceptance Of Appointment,受任. 임무나 위임을 받음,N,,,,7차(2024-11),,,
수임자,APNTE,Appointee,受任者. 위임 계약에 의하여 맡은 일을 처리할 의무를 지는 사람,N,,,,8차(2025-11),,,
수입,INCM,Income,收入. 돈이나 물품 따위를 거두어들임. 또는 그 돈이나 물품,N,,,,2차(2020-12),,,
수입국가,IMPCN,Importing Country,輸入國家. 다른 나라로부터 상품이나 기술 따위를 국내로 사들인 나라,N,,,,8차(2025-11),,,
수입업자,IMTR,Importer,輸入業者. 수입하는 일을 직업으로 하는 사람,N,,,,8차(2025-11),,,
수입업체,IMPTR,Importer,輸入業體. 다른 나라로부터 상품이나 기술 따위를 국내로 사들이는 업체,N,,,,5차(2022-07),,,
수입항,POE,Port Of Entry,輸入港. 다른 나라의 화물을 수입하는 항구,N,,,,6차(2023-11),,,
수작업,HNWK,Hand Work,手作業. 손으로 직접 하는 작업,N,,,,7차(2024-11),,,
수전,PWRCV,Power Receiving,受電. 보내진 전력을 받는 일,N,,,,8차(2025-11),,,
수정,MDFCN,Modification,修正. 바로잡아 고침,N,,,,1차(2020-08),,,
수정자,MDFR,Modifier,修正者. 바로 잡아 고친 사람,N,,수정인,,2차(2020-12),,,
수종,TRSPC,Tree Species,樹種. 나무의 종류나 종자,N,,,,6차(2023-11),,,
수주,RCVORD,Receiving An Order,受注. 주문을 받음,N,,,,8차(2025-11),,,
수준,LEVEL,Level,水準. 사물의 가치나 질 따위의 기준이 되는 일정한 표준이나 정도,N,,,,8차(2025-11),,,
수진자,MDEXME,Medical Examinee,受診者. 의사로부터 진료를 받는 사람,N,,,,7차(2024-11),,,
수집,CLCT,Collection,蒐集. 취미나 연구를 위하여 여러 가지 물건이나 재료를 찾아 모음. 또는 그 물건이나 재료,N,,,,1차(2020-08),,,
수집자,COLCTR,Collector,蒐集者. 취미나 연구를 위하여 여러 가지 물건이나 재료를 찾아 모으는 사람,N,,,,8차(2025-11),,,
수첩,PCBK,Pocket Book,手帖. 몸에 지니고 다니며 아무 때나 간단한 기록을 하는 조그마한 공책,N,,,,8차(2025-11),,,
수출,EXP,Export,輸出. 국내의 상품이나 기술을 외국으로 팔아 내보냄,N,,,,6차(2023-11),,,
수취인,ADDRSE,Addressee,受取人. 서류나 물건을 받는 사람,N,,,,4차(2021-12),,,
수치,NVL,Numerical Value,數値. 계산하여 얻은 값 또는 수식의 문자 대신에 넣는 수,Y,수,,,7차(2024-11),변경,공통표준단어 설명,유관 단어와의 통일성 및 적합성을 고려하여 설명 수정
수탁,TRST,Trust,受託. 다른 사람의 의뢰나 부탁을 받음 또는 그런 일,N,,,,6차(2023-11),,,
수탁자,TRSTE,Trustee,受託者. 남의 부탁을 받거나 남의 물건 따위를 맡은 사람,N,,,,8차(2025-11),,,
수표,CHECK,Check,手票. 은행에 당좌 예금을 가진 사람이 소지인에게 일정한 금액을 줄 것을 은행 등에 위탁하는 유가 증권,N,,,,6차(2023-11),,,
수행,FLFMT,Fulfillment,遂行. 생각하거나 계획한 대로 일을 해냄,N,,,,4차(2021-12),,,
수행자,PRFMR,Performer,遂行者. 임무를 실제로 수행하여 완수하는 사람,N,,,,8차(2025-11),,,
수험,TKEXM,Taking an Exam,受驗. 시험을 치름,N,,,,6차(2023-11),,,
수험자,EXMNE,Examinee,受驗者. 시험을 치르는 사람,N,,,,2차(2020-12),,,
수혜,BNFT,Benefit,受惠. 은혜를 입음 또는 혜택을 받음,N,,,,8차(2025-11),,,
수혜자,BNFCR,Beneficiary,受惠者. 혜택을 받는 사람,N,,,,6차(2023-11),,,
수화자,RCVER,Receiver,受話者. 전화를 받는 사람,N,,,,8차(2025-11),,,
숙박,LDG,Lodge,宿泊. 여관이나 호텔 따위에서 잠을 자고 머무름,N,,,,6차(2023-11),,,
숙소,ACMD,Accommodations,宿所. 집을 떠난 사람이 임시로 묵음. 또는 그런 곳,N,,,,7차(2024-11),,,
순간,MMNT,Moment,瞬間. 아주 짧은 동안,N,,,,7차(2024-11),,,
순매출,NSLS,Net Sales,"純賣出. 총매출에 각종 공제 항목(할인, 반품 등)을 차감한 실제 매출액",N,,,,8차(2025-11),,,
